DLY_Country,DLY_PORT,POR_Country,POR_PORT,YYYYMM,TEU_BSA (Actual),team,teu
AE,AJM,CN,LUU,202601,,OBT,0.0
AE,AJM,CN,SHK,202601,,OBT,0.0
AE,AJM,HK,HKG,202601,20,OBT,20.0
AE,JEA,CN,DCB,202601,36,OBT,36.0
AE,JEA,CN,DLC,202601,78,OBT,78.0
AE,JEA,CN,DMY,202601,,OBT,0.0
AE,JEA,CN,LYG,202601,,OBT,0.0
AE,JEA,CN,NBO,202601,"1,048",OBT,1048.0
AE,JEA,CN,NKG,202601,45,OBT,45.0
AE,JEA,CN,NTG,202601,,OBT,0.0
AE,JEA,CN,SHA,202601,937,OBT,937.0
AE,JEA,CN,SHK,202601,388,OBT,388.0
AE,JEA,CN,TAO,202601,477,OBT,477.0
AE,JEA,CN,XGG,202601,94,OBT,94.0
AE,JEA,CN,XMN,202601,314,OBT,314.0
AE,JEA,EG,SKN,202601,446,OBT,446.0
AE,JEA,HK,HKG,202601,20,OBT,20.0
AE,JEA,ID,BTM,202601,,OBT,0.0
AE,JEA,ID,JKT,202601,167,OBT,167.0
AE,JEA,ID,PLM,202601,,OBT,0.0
AE,JEA,ID,SUB,202601,120,OBT,120.0
AE,JEA,IN,CCU,202601,,OBT,0.0
AE,JEA,IN,DRI,202601,,OBT,0.0
AE,JEA,IN,GHR,202601,,OBT,0.0
AE,JEA,IN,MML,202601,,OBT,0.0
AE,JEA,IN,MOB,202601,,OBT,0.0
AE,JEA,IN,MPR,202601,,OBT,0.0
AE,JEA,IN,MUN,202601,375,OBT,375.0
AE,JEA,IN,NSA,202601,384,OBT,384.0
AE,JEA,IN,PPG,202601,,OBT,0.0
AE,JEA,IN,PTI,202601,,OBT,0.0
AE,JEA,IN,THI,202601,,OBT,0.0
AE,JEA,IN,TKD,202601,,OBT,0.0
AE,JEA,JO,AQJ,202601,60,OBT,60.0
AE,JEA,MY,PEN,202601,28,OBT,28.0
AE,JEA,MY,PKW,202601,168,OBT,168.0
AE,JEA,SA,JED,202601,160,OBT,160.0
AE,JEA,SG,SIN,202601,25,OBT,25.0
AE,JEA,TH,LCH,202601,394,OBT,394.0
AE,JEA,TH,LKB,202601,,OBT,0.0
AE,JEA,VN,CMP,202601,170,OBT,170.0
AE,JEA,VN,SGN,202601,,OBT,0.0
AE,KLF,CN,CKG,202601,,OBT,0.0
AE,KLF,CN,QZH,202601,,OBT,0.0
AE,KLF,CN,XGG,202601,,OBT,0.0
AE,KLF,CN,ZAP,202601,,OBT,0.0
AE,KLF,HK,HKG,202601,,OBT,0.0
AE,KLF,TH,LKB,202601,,OBT,0.0
AE,KLF,VN,SGN,202601,,OBT,0.0
AE,RAK,CN,SHK,202601,,OBT,0.0
AE,RAK,CN,XMN,202601,,OBT,0.0
AE,SHJ,CN,DCB,202601,,OBT,0.0
AE,SHJ,CN,QZH,202601,,OBT,0.0
AE,SHJ,CN,SHK,202601,,OBT,0.0
AE,SHJ,HK,HKG,202601,20,OBT,20.0
AE,SHJ,JO,AQJ,202601,,OBT,0.0
BH,KSP,AE,JEA,202601,,OBT,0.0
BH,KSP,CN,DCB,202601,23,OBT,23.0
BH,KSP,CN,SHA,202601,,OBT,0.0
BH,KSP,CN,TAO,202601,43,OBT,43.0
BH,KSP,CN,XGG,202601,4,OBT,4.0
BH,KSP,CN,XMN,202601,78,OBT,78.0
